"","Race","Region","EDUC","Income"
"633","Hispanic","West","Secondary","1-19,999"
"634","White","South","Bachelors","40,000-59,999"
"635","Black","South","Secondary","60,000-74,999"
"636","Black","Midwest","Secondary","1-19,999"
"637","White","Northeast","Secondary","100,000-149,999"
"638","White","Northeast","Masters","75,000-99,999"
"639","White","Midwest","Bachelors","150,000 +"
"640","White","Northeast","Bachelors","75,000-99,999"
"641","Asian/Pacific Islander","West","Professional","40,000-59,999"
"642","White","Midwest","Professional","40,000-59,999"
"643","White","South","Professional","40,000-59,999"
"644","Hispanic","South","Secondary","75,000-99,999"
"645","White","West","Masters","150,000 +"
"646","Black","South","Secondary","1-19,999"
"647","Other","South","Secondary","40,000-59,999"
"648","White","Midwest","Professional",NA
"649","White","West","Masters","150,000 +"
"650","White","West","Secondary","1-19,999"
"651","Hispanic","South","Bachelors","150,000 +"
"652","White","West","Secondary","1-19,999"
"653","Black","South","Masters","60,000-74,999"
"654","Hispanic","Midwest","Bachelors","100,000-149,999"
"655","White","Midwest","Secondary","100,000-149,999"
"656","Black","South","Primary",NA
"657","White","South","Bachelors","40,000-59,999"
"658","White","West","Primary","20,000-39,999"
"659","Hispanic","South","Masters","150,000 +"
"660","Black","South","Secondary","1-19,999"
"661","White","West","Bachelors","60,000-74,999"
"662","White","Northeast","Bachelors","60,000-74,999"
"663","White","Midwest","Secondary","1-19,999"
"664","Hispanic","West","Primary","40,000-59,999"
"665","Black","Northeast","Secondary","40,000-59,999"
"666","Hispanic","South","Primary","1-19,999"
"667","White","Northeast","Professional","100,000-149,999"
"668","Hispanic","Midwest","Professional","1-19,999"
"669","White","Midwest","Bachelors","100,000-149,999"
"670","Hispanic","South","Primary","1-19,999"
"671","White","Northeast","Masters","150,000 +"
"672","Hispanic","South","Professional","20,000-39,999"
"673","White","Midwest","Bachelors","40,000-59,999"
"674","White","South","Bachelors","100,000-149,999"
"675","White","Midwest","Secondary","40,000-59,999"
"676","White","South","Primary","1-19,999"
"677","White","Midwest","Masters","100,000-149,999"
"678","Other","Midwest","Secondary","1-19,999"
"679","White","South","Secondary","150,000 +"
"680","White","West","Secondary","1-19,999"
"681","White","West","Masters","150,000 +"
"682","White","Midwest","Bachelors","60,000-74,999"
"683","White","Midwest","Secondary","150,000 +"
"684","White","Midwest","Secondary","20,000-39,999"
"685","White","Midwest","Secondary","20,000-39,999"
"686","White","Midwest","Secondary","40,000-59,999"
"687","Asian/Pacific Islander","West","Bachelors","1-19,999"
"688","Black","Midwest","Primary","1-19,999"
"689","White","Northeast","Primary","75,000-99,999"
"690","White","South","Secondary","20,000-39,999"
"691","White","West","Secondary","1-19,999"
"692","Hispanic","West","Professional","60,000-74,999"
"693","White","South","Bachelors",NA
"694","White","South","Bachelors","100,000-149,999"
"695","White","South","Secondary","1-19,999"
"696","Hispanic","South","Secondary","20,000-39,999"
"697","Black","South","Secondary","20,000-39,999"
"698","Asian/Pacific Islander","West","Masters","150,000 +"
"699","White","South","Masters","75,000-99,999"
"700","White","Northeast","Professional","1-19,999"
"701","Asian/Pacific Islander","Midwest","Professional","100,000-149,999"
"702","White","West","Secondary","75,000-99,999"
"703","White","West","Secondary","40,000-59,999"
"704","White","South","Secondary","20,000-39,999"
"705","White","South","Secondary","40,000-59,999"
"706","White","Midwest","Secondary","40,000-59,999"
"707","White","South","Secondary","1-19,999"
"708","White","South","Masters","100,000-149,999"
"709","White","South","Bachelors","100,000-149,999"
"710","White","Northeast","Professional","75,000-99,999"
"711","Hispanic","South","Secondary","100,000-149,999"
"712","Hispanic","Midwest","Secondary","20,000-39,999"
"713","Asian/Pacific Islander","Northeast","Bachelors","40,000-59,999"
"714","Asian/Pacific Islander","West","Bachelors",NA
"715","Hispanic","South","Bachelors","40,000-59,999"
"716","White","South","Masters","75,000-99,999"
"717","White","Midwest","Secondary","75,000-99,999"
"718","Black","South","Secondary","40,000-59,999"
"719","White","South","Primary","100,000-149,999"
"720","Black","South","Professional","60,000-74,999"
"721","White","South","Secondary","60,000-74,999"
"722","White","South","Bachelors","75,000-99,999"
"723","White","South","Secondary","100,000-149,999"
"724","White","South","Secondary","1-19,999"
"725","Black","South","Bachelors","60,000-74,999"
"726","White","West","Primary","1-19,999"
"727","Hispanic","South","Primary","1-19,999"
"728","White","Midwest","Secondary","20,000-39,999"
"729","Hispanic","South","Primary","1-19,999"
"730","White","Midwest","Secondary","40,000-59,999"
"731","Asian/Pacific Islander","West","Bachelors","100,000-149,999"
"732","Hispanic","Midwest","Secondary","40,000-59,999"
"733","White","South","Secondary","20,000-39,999"
"734","White","South","Bachelors","75,000-99,999"
"735","White","South","Secondary",NA
"736","Hispanic","West","Secondary",NA
"737","White","Northeast","Primary","40,000-59,999"
"738","Black","South","Primary","20,000-39,999"
"739","White","Midwest","Secondary","60,000-74,999"
"740","White","Midwest","Professional","40,000-59,999"
"741","White","South","Primary",NA
"742","White","Northeast","Professional","20,000-39,999"
"743","Asian/Pacific Islander","West","Masters","100,000-149,999"
"744","Hispanic","West","Primary","100,000-149,999"
"745","Hispanic","South","Bachelors","40,000-59,999"
"746","White","South","Professional","40,000-59,999"
"747","White","Midwest","Masters","100,000-149,999"
"748","White","South","Bachelors",NA
"749","White","Midwest","Bachelors","100,000-149,999"
"750","Black","Northeast","Secondary","20,000-39,999"
"751","White","Northeast","Bachelors","40,000-59,999"
"752","White","South","Secondary","20,000-39,999"
"753","Black","South","Primary","Other"
"754","White","Midwest","Secondary",NA
"755","White","Midwest","Secondary","1-19,999"
"756","White","South","Masters","100,000-149,999"
"757","Black","South","Secondary","1-19,999"
"758","White","Midwest","Professional","75,000-99,999"
"759","White","South","Masters","150,000 +"
"760","White","Northeast","Bachelors","100,000-149,999"
"761","White","Midwest","Bachelors","40,000-59,999"
"762","Hispanic","West","Primary","1-19,999"
"763","White","South","Secondary","40,000-59,999"
"764","Hispanic","South","Primary","60,000-74,999"
"765","White","Midwest","Secondary","60,000-74,999"
"766","Black","South","Professional","100,000-149,999"
"767","White","South","Secondary","1-19,999"
"768","White","South","Secondary","60,000-74,999"
"769","White","West","Secondary","60,000-74,999"
"770","Hispanic","South","Masters","100,000-149,999"
"771","White","Midwest","Secondary","1-19,999"
"772","White","West","Secondary","60,000-74,999"
"773","White","South","Bachelors",NA
"774","White","South","Professional","20,000-39,999"
"775","White","South","Secondary","40,000-59,999"
"776","White","Northeast","Primary","20,000-39,999"
"777","Black","Midwest","Professional","20,000-39,999"
"778","Hispanic","South","Secondary","20,000-39,999"
"779","White","South","Secondary","20,000-39,999"
"780","Black","South","Masters","40,000-59,999"
"781","Black","South","Secondary","100,000-149,999"
"782","Black","South","Secondary","75,000-99,999"
"783","White","South","Masters","60,000-74,999"
"784","Hispanic","West","Primary","1-19,999"
"785","White","South","Secondary","40,000-59,999"
"786","White","Midwest","Secondary","40,000-59,999"
"787","White","Northeast","Secondary","20,000-39,999"
"788","White","South","Masters","150,000 +"
"789","White","Midwest","Secondary","1-19,999"
"790","White","South","Primary","20,000-39,999"
"791","Black","South","Professional","60,000-74,999"
"792","White","West","Secondary","60,000-74,999"
"793","White","West","Secondary","1-19,999"
"794","White","West","Secondary","40,000-59,999"
"795","White","Midwest","Secondary","150,000 +"
"796","Black","South","Primary",NA
"797","White","West","Secondary",NA
"798","Other","Midwest","Secondary","20,000-39,999"
"799","Asian/Pacific Islander","Northeast","Bachelors","75,000-99,999"
"800","White","South","Masters","20,000-39,999"
"801","Hispanic","Midwest","Secondary","20,000-39,999"
"802","Black","West","Bachelors","20,000-39,999"
"803","White","Midwest","Masters","40,000-59,999"
"804","White","South","Secondary","1-19,999"
"805","White","Midwest","Secondary","40,000-59,999"
"806","White","West","Bachelors","150,000 +"
"807","White","Midwest","Masters","40,000-59,999"
"808","Other","Midwest","Professional","40,000-59,999"
"809","White","Midwest","Masters","100,000-149,999"
"810","White","Midwest","Secondary","150,000 +"
"811","White","Midwest","Secondary","20,000-39,999"
"812","White","South","Secondary","20,000-39,999"
"813","Asian/Pacific Islander","West","Secondary","75,000-99,999"
"814","White","Midwest","Masters","40,000-59,999"
"815","Black","South","Masters","60,000-74,999"
"816","Black","South","Primary","1-19,999"
"817","Black","Midwest","Secondary","1-19,999"
"818","White","South","Secondary","100,000-149,999"
"819","Hispanic","Northeast","Secondary","150,000 +"
"820","White","West","Masters","100,000-149,999"
"821","White","Northeast","Bachelors","100,000-149,999"
"822","Asian/Pacific Islander","West","Secondary",NA
"823","White","West","Primary","150,000 +"
"824","Hispanic","South","Primary",NA
"825","White","West","Bachelors","75,000-99,999"
"826","White","Midwest","Secondary","40,000-59,999"
"827","White","South","Bachelors","150,000 +"
"828","White","South","Professional","20,000-39,999"
"829","White","South","Secondary","40,000-59,999"
"830","Black","West","Primary","20,000-39,999"
"831","White","South","Professional","20,000-39,999"
"832","Hispanic","South","Bachelors","150,000 +"
"833","White","Midwest","Masters","60,000-74,999"
"834","White","Midwest","Secondary","40,000-59,999"
"835","White","Midwest","Secondary","60,000-74,999"
"836","Asian/Pacific Islander","West","Bachelors","40,000-59,999"
"837","White","Midwest","Secondary","75,000-99,999"
"838","White","Northeast","Masters","150,000 +"
"839","White","South","Secondary",NA
"840","White","Midwest","Primary","20,000-39,999"
"841","White","Northeast","Masters","60,000-74,999"
"842","White","Midwest","Bachelors","40,000-59,999"
"843","Black","Midwest","Professional","75,000-99,999"
"844","White","Midwest","Secondary","150,000 +"
"845","White","Northeast","Secondary","40,000-59,999"
"846","Black","South","Bachelors","100,000-149,999"
"847","Black","South","Primary","1-19,999"
"848","Black","Northeast","Masters","40,000-59,999"
"849","White","Midwest","Bachelors","1-19,999"
"850","White","Midwest","Secondary","40,000-59,999"
"851","White","Midwest","Secondary","20,000-39,999"
"852","Black","South","Bachelors","1-19,999"
"853","White","Midwest","Secondary","1-19,999"
"854","Other","West","Secondary","1-19,999"
"855","White","South","Primary","1-19,999"
"856","White","Midwest","Professional","60,000-74,999"
"857","Hispanic","Midwest","Bachelors","150,000 +"
"858","White","Midwest","Secondary","40,000-59,999"
"859","White","West","Secondary","150,000 +"
"860","White","Northeast","Professional","40,000-59,999"
"861","White","West","Bachelors","150,000 +"
"862","White","Midwest","Secondary","60,000-74,999"
"863","Hispanic","West","Secondary","40,000-59,999"
"864","White","Midwest","Primary","1-19,999"
"865","White","West","Primary","1-19,999"
"866","Black","South","Professional","40,000-59,999"
"867","Black","South","Bachelors","1-19,999"
"868","Hispanic","South","Secondary","100,000-149,999"
"869","Black","South","Professional","1-19,999"
"870","White","Midwest","Secondary","20,000-39,999"
"871","White","West","Secondary","Other"
"872","Asian/Pacific Islander","West","Masters","75,000-99,999"
"873","White","Midwest","Secondary",NA
"874","Hispanic","Northeast","Bachelors","100,000-149,999"
"875","Hispanic","South","Secondary","1-19,999"
"876","White","South","Secondary","150,000 +"
"877","White","Midwest","Secondary","75,000-99,999"
"878","White","West","Secondary","100,000-149,999"
"879","White","Midwest","Bachelors","60,000-74,999"
"880","White","Midwest","Secondary","75,000-99,999"
"881","Hispanic","West","Secondary",NA
"882","White","Midwest","Professional","60,000-74,999"
"883","White","South","Secondary","20,000-39,999"
"884","White","Northeast","Secondary","40,000-59,999"
"885","Hispanic","South","Secondary","20,000-39,999"
"886","White","West","Professional","1-19,999"
"887","White","Midwest","Masters","100,000-149,999"
"888","Black","Midwest","Professional","75,000-99,999"
"889","White","South","Primary","40,000-59,999"
"890","White","Northeast","Bachelors","20,000-39,999"
"891","White","West","Bachelors","20,000-39,999"
"892","Asian/Pacific Islander","South","Primary","150,000 +"
"893","White","Midwest","Primary","20,000-39,999"
"894","White","West","Secondary",NA
"895","White","South","Secondary","20,000-39,999"
"896","White","Midwest","Secondary","100,000-149,999"
"897","Asian/Pacific Islander","Midwest","Bachelors","60,000-74,999"
"898","White","West","Professional","100,000-149,999"
"899","White","Midwest","Professional","100,000-149,999"
"900","White","Midwest","Secondary",NA
"901","Black","Midwest","Professional","60,000-74,999"
"902","White","Northeast","Masters","20,000-39,999"
"903","White","Midwest","Secondary","40,000-59,999"
"904","White","Midwest","Bachelors","100,000-149,999"
"905","Hispanic","South","Bachelors","150,000 +"
"906","White","West","Bachelors","75,000-99,999"
"907","White","Midwest","Masters","150,000 +"
"908","White","West","Masters","100,000-149,999"
"909","White","South","Secondary","150,000 +"
"910","Black","South","Secondary","40,000-59,999"
"911","Black","South","Secondary","20,000-39,999"
"912","White","Northeast","Professional",NA
"913","White","West","Bachelors","40,000-59,999"
"914","Hispanic","South","Primary","1-19,999"
"915","Hispanic","West","Primary","1-19,999"
"916","Hispanic","South","Secondary","40,000-59,999"
"917","White","South","Secondary","100,000-149,999"
"918","White","South","Masters","100,000-149,999"
"919","Black","Midwest","Bachelors","150,000 +"
"920","White","Midwest","Secondary","150,000 +"
"921","Black","South","Primary","1-19,999"
"922","White","South","Masters","150,000 +"
"923","White","West","Primary","60,000-74,999"
"924","White","South","Secondary",NA
"925","White","South","Secondary","20,000-39,999"
"926","White","South","Secondary",NA
"927","Asian/Pacific Islander","West","Secondary","40,000-59,999"
"928","White","Northeast","Secondary","20,000-39,999"
"929","White","South","Secondary","1-19,999"
"930","White","South","Primary","1-19,999"
"931","White","Northeast","Secondary","20,000-39,999"
"932","White","South","Professional","75,000-99,999"
"933","White","Midwest","Bachelors","75,000-99,999"
"934","White","Midwest","Masters","20,000-39,999"
"935","White","South","Secondary",NA
"936","White","Northeast","Professional","150,000 +"
"937","White","West","Masters","100,000-149,999"
"938","Hispanic","West","Masters","75,000-99,999"
"939","White","Midwest","Bachelors","100,000-149,999"
"940","Other","Midwest","Primary","40,000-59,999"
"941","White","Midwest","Primary","75,000-99,999"
"942","White","South","Masters","40,000-59,999"
"943","White","South","Secondary","20,000-39,999"
"944","White","South","Secondary",NA
"945","Hispanic","South","Bachelors","75,000-99,999"
"946","White","Midwest","Secondary","75,000-99,999"
"947","White","Midwest","Bachelors","100,000-149,999"
"948","White","West","Secondary",NA
"949","Hispanic","South","Secondary","1-19,999"
"950","White","South","Secondary","20,000-39,999"
"951","White","Midwest","Bachelors","20,000-39,999"
"952","White","Midwest","Secondary","40,000-59,999"
"953","White","South","Bachelors","40,000-59,999"
"954","White","West","Secondary","150,000 +"
"955",NA,"West","Masters","20,000-39,999"
"956","White","West","Masters","150,000 +"
"957","Hispanic","South","Primary","40,000-59,999"
"958","White","West","Secondary",NA
"959","White","South","Secondary","40,000-59,999"
"960","Black","South","Secondary","1-19,999"
"961","White","Midwest","Secondary","75,000-99,999"
"962","Black","South","Secondary",NA
"963","White","Northeast","Secondary","100,000-149,999"
"964","White","Midwest","Secondary","20,000-39,999"
"965","Asian/Pacific Islander","Midwest","Professional","40,000-59,999"
"966","White","South","Secondary","100,000-149,999"
"967","White","Northeast","Masters","150,000 +"
"968","White","Midwest","Bachelors","100,000-149,999"
"969","White","South","Bachelors","100,000-149,999"
"970","Hispanic","South","Primary","1-19,999"
"971","White","South","Secondary",NA
"972","Hispanic","Midwest","Primary","20,000-39,999"
"973","Hispanic","Midwest","Primary",NA
"974","White","Midwest","Bachelors","100,000-149,999"
"975","Black","South","Primary","100,000-149,999"
"976","White","South","Secondary","40,000-59,999"
"977","White","Midwest","Secondary","100,000-149,999"
"978","White","Midwest","Secondary","40,000-59,999"
"979","Hispanic","West","Professional",NA
"980","White","South","Masters","100,000-149,999"
"981","Black","South","Primary","40,000-59,999"
"982","White","Northeast","Bachelors","100,000-149,999"
"983","White","South","Masters","100,000-149,999"
"984","Black","South","Professional","20,000-39,999"
"985","White","Midwest","Masters","75,000-99,999"
"986","Hispanic","Midwest","Secondary","20,000-39,999"
"987","White","Midwest","Masters","100,000-149,999"
"988","White","South","Bachelors","150,000 +"
"989","White","West","Primary","20,000-39,999"
"990","Black","South","Bachelors","40,000-59,999"
"991","Hispanic","South","Secondary","1-19,999"
"992","White","South","Masters",NA
"993","White","South","Secondary","40,000-59,999"
"994","Asian/Pacific Islander","West","Bachelors","40,000-59,999"
"995","White","South","Bachelors","1-19,999"
"996","White","Midwest","Primary","1-19,999"
"997","White","South","Bachelors","100,000-149,999"
"998","White","West","Professional","75,000-99,999"
"999","White","South","Masters","100,000-149,999"
"1000","White","Midwest","Bachelors","40,000-59,999"
"1001","White","Midwest","Masters","100,000-149,999"
"1002","White","Northeast","Primary","1-19,999"
"1003","White","West","Secondary","40,000-59,999"
"1004","White","South","Professional","150,000 +"
"1005","Hispanic","South","Secondary",NA
"1006","White","South","Secondary","75,000-99,999"
"1007","White","South","Masters","75,000-99,999"
"1008","Hispanic","Midwest","Secondary","20,000-39,999"
"1009","Black","Midwest","Professional","1-19,999"
"1010","White","Northeast","Secondary","20,000-39,999"
"1011","Black","South","Primary","1-19,999"
"1012","White","West","Professional","60,000-74,999"
"1013","White","Northeast","Bachelors",NA
"1014","White","Midwest","Secondary","60,000-74,999"
"1015","White","South","Secondary",NA
"1016","White","Northeast","Secondary","40,000-59,999"
"1017","White","Midwest","Bachelors","60,000-74,999"
"1018","White","Northeast","Bachelors","1-19,999"
"1019","White","South","Secondary","150,000 +"
"1020","White","Midwest","Bachelors","75,000-99,999"
"1021","White","South","Masters","75,000-99,999"
"1022","White","Midwest","Secondary","60,000-74,999"
"1023","Asian/Pacific Islander","West","Bachelors","100,000-149,999"
"1024","White","Midwest","Masters","150,000 +"
"1025","White","South","Masters","75,000-99,999"
"1026","White","South","Bachelors","60,000-74,999"
"1027","Asian/Pacific Islander","South","Bachelors","100,000-149,999"
"1028","White","South","Primary","20,000-39,999"
"1029","Hispanic","West","Primary","20,000-39,999"
"1030","White","South","Bachelors","150,000 +"
"1031","White","South","Bachelors","100,000-149,999"
"1032","White","Northeast","Bachelors","40,000-59,999"
"1033","Black","Midwest","Bachelors","60,000-74,999"
"1034","White","South","Bachelors","40,000-59,999"
"1035","Hispanic","South","Primary",NA
"1036","White","Midwest","Secondary","40,000-59,999"
"1037","White","West","Primary","40,000-59,999"
"1038","White","South","Bachelors","150,000 +"
"1039","Hispanic","West","Professional","1-19,999"
"1040","White","West","Bachelors","100,000-149,999"
"1041","White","Midwest","Professional","75,000-99,999"
"1042","White","South","Professional",NA
"1043","Black","South","Secondary","20,000-39,999"
"1044","White","Northeast","Bachelors","60,000-74,999"
"1045","Asian/Pacific Islander","West","Professional",NA
"1046","Asian/Pacific Islander","South","Bachelors","75,000-99,999"
"1047","White","Midwest","Secondary","40,000-59,999"
"1048","Black","South","Secondary","40,000-59,999"
"1049","Hispanic","South","Bachelors","20,000-39,999"
"1050","White","Northeast","Bachelors","40,000-59,999"
"1051","White","Northeast","Secondary","1-19,999"
"1052","White","South","Secondary","40,000-59,999"
"1053","White","Midwest","Bachelors","20,000-39,999"
"1054","Asian/Pacific Islander","West","Secondary",NA
"1055","White","South","Secondary","40,000-59,999"
"1056","Black","Midwest","Secondary","40,000-59,999"
"1057","Hispanic","West","Secondary",NA
"1058","Black","Midwest","Secondary","60,000-74,999"
"1059","White","West","Secondary","100,000-149,999"
"1060","White","Midwest","Bachelors","20,000-39,999"
"1061","Black","Midwest","Professional","60,000-74,999"
"1062","White","Northeast","Bachelors","150,000 +"
"1063","White","Midwest","Bachelors","150,000 +"
"1064","White","West","Secondary","75,000-99,999"
"1065","Asian/Pacific Islander","Northeast","Professional","60,000-74,999"
"1066","White","Midwest","Professional","100,000-149,999"
"1067","Black","South","Secondary","1-19,999"
"1068","White","South","Secondary","100,000-149,999"
"1069","White","Northeast","Masters","100,000-149,999"
"1070","White","South","Secondary","20,000-39,999"
"1071","White","West","Bachelors","150,000 +"
"1072","White","South","Professional","100,000-149,999"
"1073","White","Northeast","Bachelors","75,000-99,999"
"1074","White","South","Secondary","40,000-59,999"
"1075","White","South","Secondary",NA
"1076","White","Midwest","Secondary",NA
"1077","Hispanic","South","Secondary","Other"
"1078","Hispanic","West","Secondary","60,000-74,999"
"1079","Black","West","Primary","75,000-99,999"
"1080","White","Midwest","Professional","40,000-59,999"
"1081","Black","South","Secondary","60,000-74,999"
"1082","White","Midwest","Bachelors","100,000-149,999"
"1083","White","Midwest","Primary","20,000-39,999"
"1084","White","Northeast","Bachelors",NA
"1085","White","South","Secondary","20,000-39,999"
"1086","White","South","Masters","40,000-59,999"
"1087","Asian/Pacific Islander","Northeast","Masters","150,000 +"
"1088","White","South","Primary",NA
"1089","Hispanic","Midwest","Secondary","40,000-59,999"
"1090","White","South","Bachelors","1-19,999"
"1091","Black","Midwest","Secondary","1-19,999"
"1092","Hispanic","South","Secondary","1-19,999"
"1093","White","Midwest","Secondary","60,000-74,999"
"1094","Black","South","Secondary","1-19,999"
"1095","White","Northeast","Secondary","40,000-59,999"
"1096","White","Northeast","Secondary","20,000-39,999"
"1097","White","South","Secondary","1-19,999"
"1098","Black","South","Secondary","1-19,999"
"1099","White","West","Professional","100,000-149,999"
"1100","Black","Midwest","Secondary","1-19,999"
"1101","Asian/Pacific Islander","Midwest","Bachelors","Other"
"1102","White","Northeast","Professional","40,000-59,999"
"1103","White","South","Secondary","1-19,999"
"1104","White","Midwest","Professional","150,000 +"
"1105","White","South","Secondary","75,000-99,999"
"1106","White","Northeast","Secondary",NA
"1107","White","Midwest","Secondary","60,000-74,999"
"1108","Asian/Pacific Islander","West","Masters","150,000 +"
"1109","Hispanic","South","Secondary","1-19,999"
"1110","Hispanic","West","Primary","1-19,999"
"1111","Hispanic","Midwest","Primary","20,000-39,999"
"1112","White","Midwest","Professional","40,000-59,999"
"1113","White","Midwest","Masters","40,000-59,999"
"1114","Black","South","Secondary","100,000-149,999"
"1115","White","South","Secondary","100,000-149,999"
"1116","White","Midwest","Bachelors","100,000-149,999"
"1117","White","Midwest","Secondary",NA
"1118","Asian/Pacific Islander","South","Secondary","60,000-74,999"
"1119","White","Midwest","Secondary","40,000-59,999"
"1120","White","Midwest","Secondary","40,000-59,999"
"1121","White","Northeast","Secondary","100,000-149,999"
"1122","White","West","Bachelors","150,000 +"
"1123","Hispanic","South","Secondary","1-19,999"
"1124","White","South","Secondary",NA
"1125","White","Midwest","Secondary","20,000-39,999"
"1126","White","Midwest","Professional","20,000-39,999"
"1127","White","West","Bachelors","20,000-39,999"
"1128","White","West","Bachelors","40,000-59,999"
"1129","White","South","Secondary","150,000 +"
"1130","White","Midwest","Masters","150,000 +"
"1131","White","Midwest","Professional","75,000-99,999"
"1132","White","Northeast","Masters","75,000-99,999"
"1133","Hispanic","Northeast","Secondary","60,000-74,999"
"1134","Other","South","Primary","75,000-99,999"
"1135","White","Northeast","Secondary","60,000-74,999"
"1136","White","South","Professional",NA
"1137","White","South","Professional","75,000-99,999"
"1138","White","West","Professional","40,000-59,999"
"1139","Hispanic","South","Secondary","1-19,999"
"1140","Hispanic","West","Secondary","1-19,999"
"1141","White","South","Secondary","20,000-39,999"
"1142","White","West","Professional","100,000-149,999"
"1143","White","South","Bachelors","150,000 +"
"1144","Black","South","Secondary","40,000-59,999"
"1145","Hispanic","West","Primary","20,000-39,999"
"1146","White","West","Secondary",NA
"1147","Black","Northeast","Bachelors","40,000-59,999"
"1148","White","South","Secondary","1-19,999"
"1149","Black","South","Primary","20,000-39,999"
"1150","Asian/Pacific Islander","West","Bachelors","150,000 +"
"1151","Black","South","Secondary","40,000-59,999"
"1152","White","Midwest","Masters",NA
"1153","Hispanic","Midwest","Secondary","75,000-99,999"
"1154","White","South","Secondary","40,000-59,999"
"1155","White","Northeast","Bachelors",NA
"1156","Asian/Pacific Islander","South","Professional","60,000-74,999"
"1157","White","South","Masters","150,000 +"
"1158","Other","West","Secondary",NA
"1159","White","South","Secondary",NA
"1160","White","Northeast","Secondary","40,000-59,999"
"1161","White","South","Bachelors","100,000-149,999"
"1162","White","Midwest","Secondary",NA
"1163","White","South","Secondary","20,000-39,999"
"1164","Black","South","Secondary","150,000 +"
"1165","White","South","Masters","150,000 +"
"1166","White","South","Bachelors","40,000-59,999"
"1167","White","Midwest","Bachelors","150,000 +"
"1168","White","West","Secondary","150,000 +"
"1169","White","Midwest","Secondary","150,000 +"
"1170","White","Northeast","Bachelors","60,000-74,999"
"1171","White","South","Primary","1-19,999"
"1172","White","Midwest","Secondary","60,000-74,999"
"1173","White","South","Bachelors","40,000-59,999"
"1174","Black","Northeast","Secondary","1-19,999"
"1175","White","Midwest","Secondary","40,000-59,999"
"1176","White","South","Secondary","60,000-74,999"
"1177","White","Midwest","Secondary","60,000-74,999"
"1178","White","West","Masters","75,000-99,999"
"1179","White","South","Professional","40,000-59,999"
"1180","White","West","Secondary","1-19,999"
"1181","White","South","Secondary","60,000-74,999"
"1182","White","Midwest","Secondary","40,000-59,999"
"1183","Hispanic","South","Masters","150,000 +"
"1184","White","Midwest","Masters","75,000-99,999"
"1185","White","South","Secondary","20,000-39,999"
"1186","White","Midwest","Secondary","20,000-39,999"
"1187","White","Midwest","Bachelors","60,000-74,999"
"1188","Black","Midwest","Secondary","1-19,999"
"1189","Black","South","Primary","1-19,999"
"1190","Hispanic","West","Secondary","1-19,999"
"1191","White","South","Secondary","100,000-149,999"
"1192","White","South","Masters","150,000 +"
"1193","Hispanic","South","Primary","1-19,999"
"1194","White","Midwest","Masters","100,000-149,999"
"1195","White","West","Masters","60,000-74,999"
"1196","White","West","Secondary","20,000-39,999"
"1197","Black","South","Bachelors",NA
"1198","White","West","Bachelors","60,000-74,999"
"1199","Hispanic","South","Bachelors","150,000 +"
"1200","Black","South","Professional",NA
"1201","Black","Northeast","Masters","40,000-59,999"
"1202","White","South","Bachelors","1-19,999"
"1203","White","Northeast","Secondary","60,000-74,999"
"1204","Black","Northeast","Secondary","40,000-59,999"
"1205","Hispanic","West","Secondary",NA
"1206","White","Midwest","Primary","60,000-74,999"
"1207","White","South","Bachelors","40,000-59,999"
"1208","White","South","Bachelors","40,000-59,999"
"1209","White","Midwest","Secondary","1-19,999"
"1210","White","West","Secondary","20,000-39,999"
"1211","White","Midwest","Secondary","40,000-59,999"
"1212","Black","West","Secondary","40,000-59,999"
"1213","White","Midwest","Secondary","20,000-39,999"
"1214","White","Midwest","Secondary","40,000-59,999"
"1215","Black","South","Secondary","1-19,999"
"1216","White","West","Secondary","60,000-74,999"
"1217","White","South","Professional","40,000-59,999"
"1218","White","Midwest","Secondary","20,000-39,999"
"1219","Black","Northeast","Bachelors",NA
"1220","White","Northeast","Secondary","40,000-59,999"
"1221","White","Midwest","Masters","60,000-74,999"
"1222","White","Midwest","Masters","75,000-99,999"
"1223","Black","South","Secondary","1-19,999"
"1224","White","Midwest","Bachelors",NA
"1225","Black","South","Professional",NA
"1226","White","South","Masters",NA
"1227","Asian/Pacific Islander","West","Secondary","1-19,999"
"1228","White","Midwest","Primary","1-19,999"
"1229","White","Midwest","Secondary","150,000 +"
"1230","White","Northeast","Masters","150,000 +"
"1231","Hispanic","West","Secondary","40,000-59,999"
"1232","White","South","Primary","20,000-39,999"
"1233","Other","South","Primary","20,000-39,999"
"1234","White","Northeast","Bachelors","20,000-39,999"
"1235","White","Midwest","Professional","20,000-39,999"
"1236","White","West","Masters","60,000-74,999"
"1237","White","West","Secondary","20,000-39,999"
"1238","Black","South","Primary",NA
"1239","Hispanic","West","Professional","60,000-74,999"
"1240","White","West","Primary","20,000-39,999"
"1241","White","West","Professional","75,000-99,999"
"1242","White","South","Secondary","40,000-59,999"
"1243","Black","South","Secondary","75,000-99,999"
"1244","White","Midwest","Secondary","20,000-39,999"
"1245","Black","Midwest","Professional","20,000-39,999"
"1246","Black","South","Bachelors","1-19,999"
"1247","White","Midwest","Masters","100,000-149,999"
"1248","White","Northeast","Bachelors","150,000 +"
"1249","White","Northeast","Secondary","150,000 +"
"1250","White","Midwest","Primary","1-19,999"
"1251","White","Midwest","Bachelors",NA
"1252","White","Midwest","Bachelors","40,000-59,999"
