"","Race","Region","EDUC","Income","Gender","Income_cont"
"748","Asian/Pacific Islander","West","Bachelors",NA,"Male",NA
"749","Hispanic","South","Bachelors","40,000-59,999","Male",55000
"750","White","South","Masters","75,000-99,999","Female",87500
"751","White","Midwest","Secondary","75,000-99,999","Male",87500
"752","Black","South","Associates","40,000-59,999","Male",55000
"753","White","South","Primary","100,000-149,999","Male",125000
"754","Black","South","Associates","60,000-74,999","Male",67500
"755",NA,"South",NA,NA,NA,NA
"756","White","South","Secondary","60,000-74,999","Female",67500
"757","White","South","Bachelors","75,000-99,999","Male",87500
"758","White","South","Secondary","100,000-149,999","Male",125000
"759","White","South","Secondary","10,000-19,999","Female",10000
"760","Black","South","Bachelors","60,000-74,999","Female",67500
"761","White","West","Primary","1-9,999","Female",5000
"762","Hispanic","South","Primary","10,000-19,999","Male",10000
"763","White","Midwest","Associates","30,000-39,999","Male",35000
"764","Hispanic","South","Primary","10,000-19,999","Female",10000
"765","White","Midwest","Secondary","40,000-59,999","Female",55000
"766",NA,"West",NA,NA,NA,NA
"767","Asian/Pacific Islander","West","Bachelors","100,000-149,999","Male",125000
"768","Hispanic","Midwest","Secondary","40,000-59,999","Female",55000
"769","White","South","Secondary","20,000- 29,999","Female",25000
"770","White","South","Bachelors","75,000-99,999","Male",87500
"771","White","South","Secondary",NA,"Female",NA
"772","Hispanic","West","Secondary",NA,"Female",NA
"773","White","Northeast","Primary","40,000- 49,999","Female",45000
"774","Black","South","Primary","20,000- 29,999","Male",25000
"775","White","Midwest","Associates","60,000-74,999","Female",67500
"776","White","Midwest","Associates","40,000- 49,999","Female",45000
"777","White","South","Primary",NA,"Female",NA
"778","White","Northeast","Associates","20,000- 29,999","Male",25000
"779","Asian/Pacific Islander","West","Masters","100,000-149,999","Male",125000
"780","Hispanic","West","Primary","100,000-149,999","Female",125000
"781","Hispanic","South","Bachelors","40,000- 49,999","Female",45000
"782","White","South","Associates","40,000-59,999","Female",55000
"783","White","Midwest","Masters","100,000-149,999","Female",125000
"784","White","South","Bachelors",NA,"Female",NA
"785","White","Midwest","Bachelors","100,000-149,999","Male",125000
"786","Black","Northeast","Secondary","30,000-39,999","Male",35000
"787","White","Northeast","Bachelors","40,000- 49,999","Female",45000
"788","White","South","Secondary","20,000- 29,999","Male",25000
"789","Black","South","Primary","0","Female",0
"790","White","Midwest","Secondary",NA,"Female",NA
"791","White","Midwest","Secondary","10,000-19,999","Female",10000
"792","White","South","Masters","100,000-149,999","Female",125000
"793","Black","South","Secondary","1-9,999","Male",5000
"794","White","Midwest","Associates","75,000-99,999","Female",87500
"795","White","South","Masters","150,000 +","Male",2e+05
"796","White","Northeast","Bachelors","100,000-149,999","Female",125000
"797","White","Midwest","Bachelors","40,000- 49,999","Female",45000
"798","Hispanic","West","Primary","10,000-19,999","Male",10000
"799","White","South","Secondary","40,000- 49,999","Male",45000
"800","Hispanic","South","Primary","60,000-74,999","Male",67500
"801","White","Midwest","Secondary","60,000-74,999","Female",67500
"802","Black","South","PhD","100,000-149,999","Female",125000
"803","White","South","Associates","10,000-19,999","Male",10000
"804","White","South","Secondary","60,000-74,999","Female",67500
"805","White","West","Associates","60,000-74,999","Male",67500
"806","Hispanic","South","Masters","100,000-149,999","Female",125000
"807","White","Midwest","Secondary","10,000-19,999","Female",10000
"808","White","West","Associates","60,000-74,999","Female",67500
"809","White","South","Bachelors",NA,"Female",NA
"810","White","South","Associates","30,000-39,999","Male",35000
"811","White","South","Associates","40,000-59,999","Male",55000
"812","White","Northeast","Primary","20,000- 29,999","Male",25000
"813","Black","Midwest","Associates","30,000-39,999","Female",35000
"814","Hispanic","South","Secondary","20,000- 29,999","Male",25000
"815","White","South","Secondary","20,000- 29,999","Female",25000
"816","Black","South","Masters","40,000-59,999","Male",55000
"817","Black","South","Secondary","100,000-149,999","Female",125000
"818","Black","South","Secondary","75,000-99,999","Male",87500
"819","White","South","Masters","60,000-74,999","Female",67500
"820",NA,"West",NA,NA,NA,NA
"821","Hispanic","West","Primary","10,000-19,999","Female",10000
"822","White","South","Secondary","40,000- 49,999","Female",45000
"823","White","Midwest","Associates","40,000-59,999","Female",55000
"824","White","Northeast","Secondary","20,000- 29,999","Female",25000
"825",NA,"West",NA,NA,NA,NA
"826","White","South","Masters","150,000 +","Male",2e+05
"827","White","Midwest","Associates","1-9,999","Female",5000
"828","White","South","Primary","20,000- 29,999","Male",25000
"829","Black","South","Associates","60,000-74,999","Female",67500
"830","White","West","Associates","60,000-74,999","Male",67500
"831","White","West","Secondary","10,000-19,999","Female",10000
"832",NA,"South",NA,NA,NA,NA
"833","White","West","Secondary","40,000- 49,999","Male",45000
"834","White","Midwest","Secondary","150,000 +","Female",2e+05
"835","Black","South","Primary",NA,"Male",NA
"836","White","West","Secondary",NA,"Male",NA
"837","Other","Midwest","Secondary","20,000- 29,999","Female",25000
"838","Asian/Pacific Islander","Northeast","Bachelors","75,000-99,999","Male",87500
"839",NA,"South",NA,NA,NA,NA
"840","White","South","Masters","30,000-39,999","Male",35000
"841","Hispanic","Midwest","Secondary","20,000- 29,999","Female",25000
"842","Black","West","Bachelors","20,000- 29,999","Female",25000
"843","White","Midwest","Masters","40,000-59,999","Male",55000
"844","White","South","Secondary","10,000-19,999","Male",10000
"845","White","Midwest","Secondary","40,000-59,999","Male",55000
"846","White","West","Bachelors","150,000 +","Female",2e+05
"847","White","Midwest","Masters","40,000- 49,999","Male",45000
"848","Other","Midwest","Associates","40,000- 49,999","Female",45000
"849","White","Midwest","Masters","100,000-149,999","Male",125000
"850","White","Midwest","Secondary","150,000 +","Male",2e+05
"851","White","Midwest","Secondary","30,000-39,999","Male",35000
"852","White","South","Secondary","20,000- 29,999","Male",25000
"853","Asian/Pacific Islander","West","Secondary","75,000-99,999","Male",87500
"854","White","Midwest","Masters","40,000- 49,999","Female",45000
"855","Black","South","Masters","60,000-74,999","Female",67500
"856","Black","South","Primary","1-9,999","Female",5000
"857","Black","Midwest","Secondary","1-9,999","Male",5000
"858","White","South","Secondary","100,000-149,999","Female",125000
"859","Hispanic","Northeast","Secondary","150,000 +","Female",2e+05
"860","White","West","Masters","100,000-149,999","Male",125000
"861",NA,"West",NA,NA,NA,NA
"862","White","Northeast","Bachelors","100,000-149,999","Male",125000
"863","Asian/Pacific Islander","West","Secondary",NA,"Male",NA
"864","White","West","Primary","150,000 +","Female",2e+05
"865","Hispanic","South","Primary",NA,"Male",NA
"866","White","West","Bachelors","75,000-99,999","Male",87500
"867","White","Midwest","Secondary","40,000- 49,999","Female",45000
"868","White","South","Bachelors","150,000 +","Male",2e+05
"869","White","South","Associates","30,000-39,999","Female",35000
"870","White","South","Secondary","40,000- 49,999","Male",45000
"871","Black","West","Primary","20,000- 29,999","Male",25000
"872","White","South","Associates","20,000- 29,999","Female",25000
"873","Hispanic","South","Bachelors","150,000 +","Female",2e+05
"874","White","Midwest","Masters","60,000-74,999","Female",67500
"875","White","Midwest","Secondary","40,000-59,999","Male",55000
"876","White","Midwest","Associates","60,000-74,999","Female",67500
"877","Asian/Pacific Islander","West","Bachelors","40,000-59,999","Female",55000
"878","White","Midwest","Secondary","75,000-99,999","Female",87500
"879","White","Northeast","Masters","150,000 +","Female",2e+05
"880","White","South","Secondary",NA,"Male",NA
"881","White","Midwest","Primary","30,000-39,999","Male",35000
"882","White","Northeast","Masters","60,000-74,999","Female",67500
"883","White","Midwest","Bachelors","40,000- 49,999","Female",45000
"884","Black","Midwest","Associates","75,000-99,999","Female",87500
"885","White","Midwest","Secondary","150,000 +","Female",2e+05
"886","White","Northeast","Secondary","40,000- 49,999","Female",45000
"887","Black","South","Bachelors","100,000-149,999","Male",125000
"888","Black","South","Primary","1-9,999","Male",5000
"889","Black","Northeast","Masters","40,000- 49,999","Female",45000
"890","White","Midwest","Bachelors","1-9,999","Female",5000
"891",NA,"South",NA,NA,NA,NA
"892","White","Midwest","Associates","40,000-59,999","Female",55000
"893","White","Midwest","Secondary","30,000-39,999","Female",35000
"894","Black","South","Bachelors","1-9,999","Female",5000
"895","White","Midwest","Secondary","10,000-19,999","Female",10000
"896","Other","West","Secondary","10,000-19,999","Male",10000
"897",NA,"South",NA,NA,NA,NA
"898","White","South","Primary","10,000-19,999","Male",10000
"899","White","Midwest","Associates","60,000-74,999","Male",67500
"900","Hispanic","Midwest","Bachelors","150,000 +","Female",2e+05
"901","White","Midwest","Secondary","40,000-59,999","Male",55000
"902","White","West","Secondary","150,000 +","Male",2e+05
"903","White","Northeast","Associates","40,000-59,999","Female",55000
"904","White","West","Bachelors","150,000 +","Male",2e+05
"905","White","Midwest","Associates","60,000-74,999","Female",67500
"906","Hispanic","West","Secondary","40,000-59,999","Female",55000
"907","White","Midwest","Primary","10,000-19,999","Male",10000
"908","White","West","Primary","10,000-19,999","Male",10000
"909","Black","South","Associates","40,000-59,999","Male",55000
"910","Black","South","Bachelors","10,000-19,999","Female",10000
"911","Hispanic","South","Secondary","100,000-149,999","Male",125000
"912","Black","South","Associates","10,000-19,999","Female",10000
"913","White","Midwest","Associates","20,000- 29,999","Male",25000
"914","White","West","Secondary","0","Female",0
"915","Asian/Pacific Islander","West","Masters","75,000-99,999","Female",87500
"916","White","Midwest","Secondary",NA,"Female",NA
"917","Hispanic","Northeast","Bachelors","100,000-149,999","Male",125000
"918","Hispanic","South","Secondary","10,000-19,999","Male",10000
"919","White","South","Secondary","150,000 +","Male",2e+05
"920","White","Midwest","Secondary","75,000-99,999","Male",87500
"921","White","West","Associates","100,000-149,999","Male",125000
"922","White","Midwest","Bachelors","60,000-74,999","Male",67500
"923","White","Midwest","Secondary","75,000-99,999","Male",87500
"924","Hispanic","West","Secondary",NA,"Male",NA
"925","White","Midwest","Associates","60,000-74,999","Female",67500
"926","White","South","Secondary","30,000-39,999","Male",35000
"927","White","Northeast","Secondary","40,000- 49,999","Female",45000
"928","Hispanic","South","Secondary","20,000- 29,999","Female",25000
"929","White","West","Associates","10,000-19,999","Male",10000
"930","White","Midwest","Masters","100,000-149,999","Female",125000
"931","Black","Midwest","Associates","75,000-99,999","Male",87500
"932","White","South","Primary","40,000- 49,999","Male",45000
"933","White","Northeast","Bachelors","30,000-39,999","Female",35000
"934","White","West","Bachelors","30,000-39,999","Female",35000
"935","Asian/Pacific Islander","South","Primary","150,000 +","Male",2e+05
"936","White","Midwest","Primary","20,000- 29,999","Female",25000
"937","White","West","Secondary",NA,"Female",NA
"938","White","South","Secondary","30,000-39,999","Female",35000
"939","White","Midwest","Secondary","100,000-149,999","Female",125000
"940",NA,"South",NA,NA,NA,NA
"941","Asian/Pacific Islander","Midwest","Bachelors","60,000-74,999","Female",67500
"942",NA,"Midwest",NA,NA,NA,NA
"943","White","West","PhD","100,000-149,999","Female",125000
"944","White","Midwest","Associates","100,000-149,999","Male",125000
"945","White","Midwest","Secondary",NA,"Male",NA
"946","Black","Midwest","PhD","60,000-74,999","Male",67500
"947","White","Northeast","Masters","30,000-39,999","Male",35000
"948","White","Midwest","Secondary","40,000-59,999","Male",55000
"949","White","Midwest","Bachelors","100,000-149,999","Male",125000
"950","Hispanic","South","Bachelors","150,000 +","Male",2e+05
"951",NA,"West",NA,NA,NA,NA
"952","White","West","Bachelors","75,000-99,999","Male",87500
"953","White","Midwest","Masters","150,000 +","Female",2e+05
"954","White","West","Masters","100,000-149,999","Male",125000
"955","White","South","Secondary","150,000 +","Female",2e+05
"956","Black","South","Secondary","40,000- 49,999","Female",45000
"957","Black","South","Associates","30,000-39,999","Male",35000
"958","White","Northeast","Associates",NA,"Male",NA
"959",NA,"South",NA,NA,NA,NA
"960","White","West","Bachelors","40,000- 49,999","Male",45000
"961","Hispanic","South","Primary","10,000-19,999","Female",10000
"962","Hispanic","West","Primary","1-9,999","Female",5000
"963","Hispanic","South","Secondary","40,000- 49,999","Female",45000
"964",NA,"South",NA,NA,NA,NA
"965","White","South","Associates","100,000-149,999","Male",125000
"966","White","South","Masters","100,000-149,999","Female",125000
"967","Black","Midwest","Bachelors","150,000 +","Male",2e+05
"968","White","Midwest","Secondary","150,000 +","Female",2e+05
"969","Black","South","Primary","10,000-19,999","Female",10000
"970","White","South","Masters","150,000 +","Male",2e+05
"971","White","West","Primary","60,000-74,999","Male",67500
"972","White","South","Secondary",NA,"Female",NA
"973","White","South","Secondary","30,000-39,999","Male",35000
"974","White","South","Secondary",NA,"Male",NA
"975","Asian/Pacific Islander","West","Secondary","40,000- 49,999","Female",45000
"976","White","Northeast","Secondary","30,000-39,999","Male",35000
"977","White","South","Secondary","1-9,999","Female",5000
"978","White","South","Primary","1-9,999","Female",5000
"979","White","Northeast","Secondary","30,000-39,999","Male",35000
"980","White","South","Associates","75,000-99,999","Female",87500
"981","White","Midwest","Bachelors","75,000-99,999","Female",87500
"982","White","Midwest","Masters","20,000- 29,999","Female",25000
"983","White","South","Secondary",NA,"Female",NA
"984","White","Northeast","PhD","150,000 +","Male",2e+05
"985","White","West","Masters","100,000-149,999","Male",125000
"986","Hispanic","West","Masters","75,000-99,999","Female",87500
"987","White","Midwest","Bachelors","100,000-149,999","Male",125000
"988","Other","Midwest","Primary","40,000- 49,999","Female",45000
"989","White","Midwest","Primary","75,000-99,999","Male",87500
"990","White","South","Masters","40,000-59,999","Male",55000
"991","White","South","Secondary","20,000- 29,999","Male",25000
"992","White","South","Secondary",NA,"Female",NA
"993","Hispanic","South","Bachelors","75,000-99,999","Female",87500
"994","White","Midwest","Secondary","75,000-99,999","Male",87500
"995","White","Midwest","Bachelors","100,000-149,999","Female",125000
"996","White","West","Secondary",NA,"Male",NA
"997","Hispanic","South","Secondary","1-9,999","Male",5000
"998","White","South","Secondary","20,000- 29,999","Male",25000
"999","White","Midwest","Bachelors","30,000-39,999","Male",35000
"1000","White","Midwest","Secondary","40,000-59,999","Female",55000
"1001","White","South","Bachelors","40,000- 49,999","Male",45000
"1002","White","West","Secondary","150,000 +","Male",2e+05
"1003",NA,"Northeast",NA,NA,NA,NA
"1004",NA,"West","Masters","30,000-39,999","Female",35000
"1005","White","West","Masters","150,000 +","Male",2e+05
"1006","Hispanic","South","Primary","40,000-59,999","Male",55000
"1007","White","West","Secondary",NA,"Male",NA
"1008","White","South","Associates","40,000-59,999","Male",55000
"1009","Black","South","Secondary","1-9,999","Female",5000
"1010","White","Midwest","Secondary","75,000-99,999","Male",87500
"1011","Black","South","Secondary",NA,"Male",NA
"1012","White","Northeast","Secondary","100,000-149,999","Male",125000
"1013","White","Midwest","Secondary","30,000-39,999","Female",35000
"1014","Asian/Pacific Islander","Midwest","Associates","40,000-59,999","Female",55000
"1015","White","South","Associates","100,000-149,999","Female",125000
"1016","White","Northeast","Masters","150,000 +","Male",2e+05
"1017","White","Midwest","Bachelors","100,000-149,999","Male",125000
"1018","White","South","Bachelors","100,000-149,999","Female",125000
"1019","Hispanic","South","Primary","10,000-19,999","Male",10000
"1020","White","South","Associates",NA,"Female",NA
"1021","Hispanic","Midwest","Primary","30,000-39,999","Male",35000
"1022","Hispanic","Midwest","Primary",NA,"Female",NA
"1023","White","Midwest","Bachelors","100,000-149,999","Male",125000
"1024","Black","South","Primary","100,000-149,999","Male",125000
"1025","White","South","Secondary","40,000- 49,999","Male",45000
"1026","White","Midwest","Secondary","100,000-149,999","Male",125000
"1027","White","Midwest","Secondary","40,000-59,999","Male",55000
"1028","Hispanic","West","Associates",NA,"Male",NA
"1029","White","South","Masters","100,000-149,999","Male",125000
"1030","Black","South","Primary","40,000- 49,999","Female",45000
"1031","White","Northeast","Bachelors","100,000-149,999","Male",125000
"1032","White","South","Masters","100,000-149,999","Female",125000
"1033","Black","South","Associates","30,000-39,999","Female",35000
"1034","White","Midwest","Masters","75,000-99,999","Female",87500
"1035","Hispanic","Midwest","Secondary","20,000- 29,999","Female",25000
"1036","White","Midwest","Masters","100,000-149,999","Female",125000
"1037","White","South","Bachelors","150,000 +","Male",2e+05
"1038","White","West","Primary","20,000- 29,999","Female",25000
"1039","Black","South","Bachelors","40,000- 49,999","Female",45000
"1040","Hispanic","South","Secondary","1-9,999","Male",5000
"1041","White","South","Masters",NA,"Female",NA
"1042","White","South","Secondary","40,000-59,999","Female",55000
"1043","Asian/Pacific Islander","West","Bachelors","40,000-59,999","Female",55000
"1044","White","South","Bachelors","10,000-19,999","Female",10000
"1045","White","Midwest","Primary","10,000-19,999","Female",10000
"1046",NA,"Midwest",NA,NA,NA,NA
"1047","White","South","Bachelors","100,000-149,999","Male",125000
"1048","White","West","Associates","75,000-99,999","Male",87500
"1049","White","South","Masters","100,000-149,999","Female",125000
"1050","White","Midwest","Bachelors","40,000- 49,999","Female",45000
"1051","White","Midwest","Masters","100,000-149,999","Male",125000
"1052","White","Northeast","Primary","10,000-19,999","Male",10000
"1053",NA,"Northeast",NA,NA,NA,NA
"1054","White","West","Secondary","40,000-59,999","Male",55000
"1055","White","South","PhD","150,000 +","Male",2e+05
"1056","Hispanic","South","Secondary",NA,"Male",NA
"1057",NA,"Midwest",NA,NA,NA,NA
"1058","White","South","Secondary","75,000-99,999","Male",87500
"1059","White","South","Masters","75,000-99,999","Female",87500
"1060","Hispanic","Midwest","Secondary","20,000- 29,999","Female",25000
"1061","Black","Midwest","Associates","10,000-19,999","Female",10000
"1062","White","Northeast","Associates","20,000- 29,999","Female",25000
"1063","Black","South","Primary","10,000-19,999","Female",10000
"1064","White","West","Associates","60,000-74,999","Female",67500
"1065","White","Northeast","Bachelors",NA,"Male",NA
"1066","White","Midwest","Secondary","60,000-74,999","Female",67500
"1067","White","South","Secondary",NA,"Male",NA
"1068","White","Northeast","Secondary","40,000- 49,999","Female",45000
"1069","White","Midwest","Bachelors","60,000-74,999","Female",67500
"1070","White","Northeast","Bachelors","10,000-19,999","Male",10000
"1071","White","South","Secondary","150,000 +","Female",2e+05
"1072","White","Midwest","Bachelors","75,000-99,999","Female",87500
"1073","White","South","Masters","75,000-99,999","Male",87500
"1074","White","Midwest","Secondary","60,000-74,999","Female",67500
"1075","Asian/Pacific Islander","West","Bachelors","100,000-149,999","Male",125000
"1076","White","Midwest","Masters","150,000 +","Female",2e+05
"1077",NA,"Midwest",NA,NA,NA,NA
"1078","White","South","Masters","75,000-99,999","Female",87500
"1079","White","South","Bachelors","60,000-74,999","Male",67500
"1080",NA,"South",NA,NA,NA,NA
"1081","Asian/Pacific Islander","South","Bachelors","100,000-149,999","Male",125000
"1082","White","South","Primary","20,000- 29,999","Male",25000
"1083","Hispanic","West","Primary","20,000- 29,999","Female",25000
"1084","White","South","Bachelors","150,000 +","Male",2e+05
"1085","White","South","Bachelors","100,000-149,999","Male",125000
"1086","White","Northeast","Bachelors","40,000- 49,999","Female",45000
"1087","Black","Midwest","Bachelors","60,000-74,999","Male",67500
"1088","White","South","Bachelors","40,000-59,999","Male",55000
"1089","Hispanic","South","Primary",NA,"Female",NA
"1090","White","Midwest","Secondary","40,000-59,999","Female",55000
"1091","White","West","Primary","40,000- 49,999","Male",45000
"1092","White","South","Bachelors","150,000 +","Female",2e+05
"1093","Hispanic","West","Associates","10,000-19,999","Female",10000
"1094","White","West","Bachelors","100,000-149,999","Male",125000
"1095","White","Midwest","Associates","75,000-99,999","Female",87500
"1096","White","South","Associates",NA,"Female",NA
"1097",NA,"West",NA,NA,NA,NA
"1098","Black","South","Secondary","20,000- 29,999","Male",25000
"1099","White","Northeast","Bachelors","60,000-74,999","Male",67500
"1100","Asian/Pacific Islander","West","Associates",NA,"Male",NA
"1101","Asian/Pacific Islander","South","Bachelors","75,000-99,999","Female",87500
"1102","White","Midwest","Secondary","40,000-59,999","Male",55000
"1103","Black","South","Associates","40,000-59,999","Male",55000
"1104","Hispanic","South","Bachelors","20,000- 29,999","Male",25000
"1105","White","Northeast","Bachelors","40,000-59,999","Male",55000
"1106","White","Northeast","Secondary","10,000-19,999","Male",10000
"1107","White","South","Secondary","40,000- 49,999","Female",45000
"1108","White","Midwest","Bachelors","20,000- 29,999","Female",25000
"1109","Asian/Pacific Islander","West","Secondary",NA,"Male",NA
"1110","White","South","Associates","40,000- 49,999","Female",45000
"1111","Black","Midwest","Secondary","40,000- 49,999","Male",45000
"1112","Hispanic","West","Secondary",NA,"Female",NA
"1113","Black","Midwest","Secondary","60,000-74,999","Female",67500
"1114","White","West","Secondary","100,000-149,999","Male",125000
"1115","White","Midwest","Bachelors","20,000- 29,999","Male",25000
"1116","Black","Midwest","Associates","60,000-74,999","Male",67500
"1117","White","Northeast","Bachelors","150,000 +","Male",2e+05
"1118",NA,"West",NA,NA,NA,NA
"1119",NA,"South",NA,NA,NA,NA
"1120","White","Midwest","Bachelors","150,000 +","Male",2e+05
"1121","White","West","Secondary","75,000-99,999","Female",87500
"1122","Asian/Pacific Islander","Northeast","Associates","60,000-74,999","Female",67500
"1123","White","Midwest","Associates","100,000-149,999","Female",125000
"1124","Black","South","Secondary","10,000-19,999","Female",10000
"1125","White","South","Secondary","100,000-149,999","Male",125000
"1126","White","Northeast","Masters","100,000-149,999","Female",125000
"1127","White","South","Secondary","20,000- 29,999","Female",25000
"1128","White","West","Bachelors","150,000 +","Female",2e+05
"1129",NA,"West",NA,NA,NA,NA
"1130","White","South","Associates","100,000-149,999","Female",125000
"1131","White","Northeast","Bachelors","75,000-99,999","Male",87500
"1132","White","South","Associates","40,000- 49,999","Female",45000
"1133","White","South","Secondary",NA,"Male",NA
"1134","White","Midwest","Secondary",NA,"Male",NA
"1135","Hispanic","South","Secondary","0","Female",0
"1136","Hispanic","West","Secondary","60,000-74,999","Female",67500
"1137","Black","West","Primary","75,000-99,999","Male",87500
"1138","White","Midwest","Associates","40,000-59,999","Male",55000
"1139","Black","South","Secondary","60,000-74,999","Male",67500
"1140","White","Midwest","Bachelors","100,000-149,999","Male",125000
"1141","White","Midwest","Primary","30,000-39,999","Male",35000
"1142",NA,"West",NA,NA,NA,NA
"1143","White","Northeast","Bachelors",NA,"Female",NA
"1144","White","South","Secondary","20,000- 29,999","Female",25000
"1145","White","South","Masters","40,000-59,999","Female",55000
"1146","Asian/Pacific Islander","Northeast","Masters","150,000 +","Female",2e+05
"1147","White","South","Primary",NA,"Male",NA
"1148","Hispanic","Midwest","Secondary","40,000-59,999","Male",55000
"1149","White","South","Bachelors","10,000-19,999","Female",10000
"1150","Black","Midwest","Secondary","1-9,999","Female",5000
"1151","Hispanic","South","Secondary","1-9,999","Male",5000
"1152","White","Midwest","Secondary","60,000-74,999","Female",67500
"1153","Black","South","Secondary","1-9,999","Male",5000
"1154","White","Northeast","Associates","40,000- 49,999","Male",45000
"1155",NA,"West",NA,NA,NA,NA
"1156","White","Northeast","Secondary","20,000- 29,999","Female",25000
"1157","White","South","Secondary","10,000-19,999","Female",10000
"1158","Black","South","Secondary","10,000-19,999","Male",10000
"1159","White","West","Associates","100,000-149,999","Male",125000
"1160","Black","Midwest","Secondary","1-9,999","Female",5000
"1161","Asian/Pacific Islander","Midwest","Bachelors","0","Male",0
"1162","White","Northeast","Associates","40,000-59,999","Female",55000
"1163","White","South","Secondary","10,000-19,999","Male",10000
"1164","White","Midwest","Associates","150,000 +","Male",2e+05
"1165","White","South","Secondary","75,000-99,999","Female",87500
"1166","White","Northeast","Secondary",NA,"Female",NA
"1167","White","Midwest","Associates","60,000-74,999","Female",67500
"1168","Asian/Pacific Islander","West","Masters","150,000 +","Male",2e+05
"1169","Hispanic","South","Secondary","10,000-19,999","Female",10000
"1170","Hispanic","West","Primary","10,000-19,999","Male",10000
"1171","Hispanic","Midwest","Primary","30,000-39,999","Female",35000
"1172","White","Midwest","PhD","40,000-59,999","Male",55000
"1173","White","Midwest","Masters","40,000-59,999","Male",55000
"1174","Black","South","Secondary","100,000-149,999","Female",125000
"1175","White","South","Secondary","100,000-149,999","Male",125000
"1176","White","Midwest","Bachelors","100,000-149,999","Female",125000
"1177","White","Midwest","Associates",NA,"Male",NA
"1178","Asian/Pacific Islander","South","Secondary","60,000-74,999","Female",67500
"1179","White","Midwest","Secondary","40,000-59,999","Male",55000
"1180","White","Midwest","Secondary","40,000- 49,999","Female",45000
"1181","White","Northeast","Associates","100,000-149,999","Female",125000
"1182","White","West","Bachelors","150,000 +","Male",2e+05
"1183","Hispanic","South","Secondary","10,000-19,999","Male",10000
"1184","White","South","Secondary",NA,"Female",NA
"1185","White","Midwest","Secondary","30,000-39,999","Female",35000
"1186","White","Midwest","Associates","20,000- 29,999","Female",25000
"1187","White","West","Bachelors","30,000-39,999","Female",35000
"1188","White","West","Bachelors","40,000-59,999","Female",55000
"1189","White","South","Associates","150,000 +","Male",2e+05
"1190","White","Midwest","Masters","150,000 +","Male",2e+05
"1191","White","Midwest","Associates","75,000-99,999","Male",87500
"1192","White","Northeast","Masters","75,000-99,999","Female",87500
"1193","Hispanic","Northeast","Secondary","60,000-74,999","Male",67500
"1194","Other","South","Primary","75,000-99,999","Female",87500
"1195","White","Northeast","Secondary","60,000-74,999","Male",67500
"1196","White","South","Associates",NA,"Female",NA
"1197","White","South","Associates","75,000-99,999","Male",87500
"1198","White","West","Associates","40,000- 49,999","Male",45000
"1199","Hispanic","South","Secondary","10,000-19,999","Female",10000
"1200","Hispanic","West","Secondary","1-9,999","Female",5000
"1201","White","South","Secondary","20,000- 29,999","Male",25000
"1202","White","West","PhD","100,000-149,999","Male",125000
"1203","White","South","Bachelors","150,000 +","Female",2e+05
"1204","Black","South","Associates","40,000-59,999","Male",55000
"1205","Hispanic","West","Primary","30,000-39,999","Male",35000
"1206","White","West","Associates",NA,"Female",NA
"1207","Black","Northeast","Bachelors","40,000-59,999","Female",55000
"1208","White","South","Secondary","10,000-19,999","Male",10000
"1209","Black","South","Primary","20,000- 29,999","Male",25000
"1210","Asian/Pacific Islander","West","Bachelors","150,000 +","Female",2e+05
"1211","Black","South","Secondary","40,000- 49,999","Female",45000
"1212","White","Midwest","Masters",NA,"Female",NA
"1213","Hispanic","Midwest","Secondary","75,000-99,999","Female",87500
"1214","White","South","Secondary","40,000-59,999","Female",55000
"1215","White","Northeast","Bachelors",NA,"Female",NA
"1216","Asian/Pacific Islander","South","Associates","60,000-74,999","Male",67500
"1217","White","South","Masters","150,000 +","Female",2e+05
"1218","Other","West","Secondary",NA,"Female",NA
"1219","White","South","Secondary",NA,"Male",NA
"1220","White","Northeast","Secondary","40,000- 49,999","Female",45000
"1221","White","South","Bachelors","100,000-149,999","Female",125000
"1222","White","Midwest","Secondary",NA,"Female",NA
"1223","White","South","Secondary","20,000- 29,999","Female",25000
"1224","Black","South","Secondary","150,000 +","Male",2e+05
"1225","White","South","Masters","150,000 +","Male",2e+05
"1226","White","South","Bachelors","40,000- 49,999","Female",45000
"1227","White","Midwest","Bachelors","150,000 +","Male",2e+05
"1228","White","West","Secondary","150,000 +","Female",2e+05
"1229","White","Midwest","Secondary","150,000 +","Male",2e+05
"1230","White","Northeast","Bachelors","60,000-74,999","Female",67500
"1231","White","South","Primary","1-9,999","Female",5000
"1232","White","Midwest","Secondary","60,000-74,999","Male",67500
"1233","White","South","Bachelors","40,000-59,999","Male",55000
"1234","Black","Northeast","Secondary","10,000-19,999","Female",10000
"1235","White","Midwest","Secondary","40,000-59,999","Male",55000
"1236","White","South","Secondary","60,000-74,999","Male",67500
"1237","White","Midwest","Secondary","60,000-74,999","Female",67500
"1238","White","West","Masters","75,000-99,999","Male",87500
"1239","White","South","Associates","40,000- 49,999","Female",45000
"1240","White","West","Secondary","10,000-19,999","Female",10000
"1241","White","South","Secondary","60,000-74,999","Male",67500
"1242","White","Midwest","Secondary","40,000- 49,999","Male",45000
"1243","Hispanic","South","Masters","150,000 +","Female",2e+05
"1244","White","Midwest","Masters","75,000-99,999","Male",87500
"1245","White","South","Associates","20,000- 29,999","Female",25000
"1246","White","Midwest","Associates","30,000-39,999","Female",35000
