"","Race","Region","EDUC","Gender","Income","Income_cont"
"820","White","West","Masters","Male","100,000-149,999","125000"
"821","White","Northeast","Bachelors","Male","100,000-149,999","125000"
"822","Asian/Pacific Islander","West","Secondary","Male",NA,NA
"823","White","West","Primary","Female","150,000 +","200000"
"824","Hispanic","South","Primary","Male",NA,NA
"825","White","West","Bachelors","Male","75,000-99,999","87500"
"826","White","Midwest","Secondary","Female","40,000- 49,999","45000"
"827","White","South","Bachelors","Male","150,000 +","200000"
"828","White","South","Professional","Female","30,000-39,999","35000"
"829","White","South","Secondary","Male","40,000- 49,999","45000"
"830","Black","West","Primary","Male","20,000- 29,999","25000"
"831","White","South","Professional","Female","20,000- 29,999","25000"
"832","Hispanic","South","Bachelors","Female","150,000 +","200000"
"833","White","Midwest","Masters","Female","60,000-74,999","67500"
"834","White","Midwest","Secondary","Male","40,000-59,999","55000"
"835","White","Midwest","Secondary","Female","60,000-74,999","67500"
"836","Asian/Pacific Islander","West","Bachelors","Female","40,000-59,999","55000"
"837","White","Midwest","Secondary","Female","75,000-99,999","87500"
"838","White","Northeast","Masters","Female","150,000 +","200000"
"839","White","South","Secondary","Male",NA,NA
"840","White","Midwest","Primary","Male","30,000-39,999","35000"
"841","White","Northeast","Masters","Female","60,000-74,999","67500"
"842","White","Midwest","Bachelors","Female","40,000- 49,999","45000"
"843","Black","Midwest","Professional","Female","75,000-99,999","87500"
"844","White","Midwest","Secondary","Female","150,000 +","200000"
"845","White","Northeast","Secondary","Female","40,000- 49,999","45000"
"846","Black","South","Bachelors","Male","100,000-149,999","125000"
"847","Black","South","Primary","Male","1-9,999","5000"
"848","Black","Northeast","Masters","Female","40,000- 49,999","45000"
"849","White","Midwest","Bachelors","Female","1-9,999","5000"
"850","White","Midwest","Secondary","Female","40,000-59,999","55000"
"851","White","Midwest","Secondary","Female","30,000-39,999","35000"
"852","Black","South","Bachelors","Female","1-9,999","5000"
"853","White","Midwest","Secondary","Female","10,000-19,999","10000"
"854","Other","West","Secondary","Male","10,000-19,999","10000"
"855","White","South","Primary","Male","10,000-19,999","10000"
"856","White","Midwest","Professional","Male","60,000-74,999","67500"
"857","Hispanic","Midwest","Bachelors","Female","150,000 +","200000"
"858","White","Midwest","Secondary","Male","40,000-59,999","55000"
"859","White","West","Secondary","Male","150,000 +","200000"
"860","White","Northeast","Professional","Female","40,000-59,999","55000"
"861","White","West","Bachelors","Male","150,000 +","200000"
"862","White","Midwest","Secondary","Female","60,000-74,999","67500"
"863","Hispanic","West","Secondary","Female","40,000-59,999","55000"
"864","White","Midwest","Primary","Male","10,000-19,999","10000"
"865","White","West","Primary","Male","10,000-19,999","10000"
"866","Black","South","Professional","Male","40,000-59,999","55000"
"867","Black","South","Bachelors","Female","10,000-19,999","10000"
"868","Hispanic","South","Secondary","Male","100,000-149,999","125000"
"869","Black","South","Professional","Female","10,000-19,999","10000"
"870","White","Midwest","Secondary","Male","20,000- 29,999","25000"
"871","White","West","Secondary","Female","0","0"
"872","Asian/Pacific Islander","West","Masters","Female","75,000-99,999","87500"
"873","White","Midwest","Secondary","Female",NA,NA
"874","Hispanic","Northeast","Bachelors","Male","100,000-149,999","125000"
"875","Hispanic","South","Secondary","Male","10,000-19,999","10000"
"876","White","South","Secondary","Male","150,000 +","200000"
"877","White","Midwest","Secondary","Male","75,000-99,999","87500"
"878","White","West","Secondary","Male","100,000-149,999","125000"
"879","White","Midwest","Bachelors","Male","60,000-74,999","67500"
"880","White","Midwest","Secondary","Male","75,000-99,999","87500"
"881","Hispanic","West","Secondary","Male",NA,NA
"882","White","Midwest","Professional","Female","60,000-74,999","67500"
"883","White","South","Secondary","Male","30,000-39,999","35000"
"884","White","Northeast","Secondary","Female","40,000- 49,999","45000"
"885","Hispanic","South","Secondary","Female","20,000- 29,999","25000"
"886","White","West","Professional","Male","10,000-19,999","10000"
"887","White","Midwest","Masters","Female","100,000-149,999","125000"
"888","Black","Midwest","Professional","Male","75,000-99,999","87500"
"889","White","South","Primary","Male","40,000- 49,999","45000"
"890","White","Northeast","Bachelors","Female","30,000-39,999","35000"
"891","White","West","Bachelors","Female","30,000-39,999","35000"
"892","Asian/Pacific Islander","South","Primary","Male","150,000 +","200000"
"893","White","Midwest","Primary","Female","20,000- 29,999","25000"
"894","White","West","Secondary","Female",NA,NA
"895","White","South","Secondary","Female","30,000-39,999","35000"
"896","White","Midwest","Secondary","Female","100,000-149,999","125000"
"897","Asian/Pacific Islander","Midwest","Bachelors","Female","60,000-74,999","67500"
"898","White","West","Professional","Female","100,000-149,999","125000"
"899","White","Midwest","Professional","Male","100,000-149,999","125000"
"900","White","Midwest","Secondary","Male",NA,NA
"901","Black","Midwest","Professional","Male","60,000-74,999","67500"
"902","White","Northeast","Masters","Male","30,000-39,999","35000"
"903","White","Midwest","Secondary","Male","40,000-59,999","55000"
"904","White","Midwest","Bachelors","Male","100,000-149,999","125000"
"905","Hispanic","South","Bachelors","Male","150,000 +","200000"
"906","White","West","Bachelors","Male","75,000-99,999","87500"
"907","White","Midwest","Masters","Female","150,000 +","200000"
"908","White","West","Masters","Male","100,000-149,999","125000"
"909","White","South","Secondary","Female","150,000 +","200000"
"910","Black","South","Secondary","Female","40,000- 49,999","45000"
"911","Black","South","Secondary","Male","30,000-39,999","35000"
"912","White","Northeast","Professional","Male",NA,NA
"913","White","West","Bachelors","Male","40,000- 49,999","45000"
"914","Hispanic","South","Primary","Female","10,000-19,999","10000"
"915","Hispanic","West","Primary","Female","1-9,999","5000"
"916","Hispanic","South","Secondary","Female","40,000- 49,999","45000"
"917","White","South","Secondary","Male","100,000-149,999","125000"
"918","White","South","Masters","Female","100,000-149,999","125000"
"919","Black","Midwest","Bachelors","Male","150,000 +","200000"
"920","White","Midwest","Secondary","Female","150,000 +","200000"
"921","Black","South","Primary","Female","10,000-19,999","10000"
"922","White","South","Masters","Male","150,000 +","200000"
"923","White","West","Primary","Male","60,000-74,999","67500"
"924","White","South","Secondary","Female",NA,NA
"925","White","South","Secondary","Male","30,000-39,999","35000"
"926","White","South","Secondary","Male",NA,NA
"927","Asian/Pacific Islander","West","Secondary","Female","40,000- 49,999","45000"
"928","White","Northeast","Secondary","Male","30,000-39,999","35000"
"929","White","South","Secondary","Female","1-9,999","5000"
"930","White","South","Primary","Female","1-9,999","5000"
"931","White","Northeast","Secondary","Male","30,000-39,999","35000"
"932","White","South","Professional","Female","75,000-99,999","87500"
"933","White","Midwest","Bachelors","Female","75,000-99,999","87500"
"934","White","Midwest","Masters","Female","20,000- 29,999","25000"
"935","White","South","Secondary","Female",NA,NA
"936","White","Northeast","Professional","Male","150,000 +","200000"
"937","White","West","Masters","Male","100,000-149,999","125000"
"938","Hispanic","West","Masters","Female","75,000-99,999","87500"
"939","White","Midwest","Bachelors","Male","100,000-149,999","125000"
"940","Other","Midwest","Primary","Female","40,000- 49,999","45000"
"941","White","Midwest","Primary","Male","75,000-99,999","87500"
"942","White","South","Masters","Male","40,000-59,999","55000"
"943","White","South","Secondary","Male","20,000- 29,999","25000"
"944","White","South","Secondary","Female",NA,NA
"945","Hispanic","South","Bachelors","Female","75,000-99,999","87500"
"946","White","Midwest","Secondary","Male","75,000-99,999","87500"
"947","White","Midwest","Bachelors","Female","100,000-149,999","125000"
"948","White","West","Secondary","Male",NA,NA
"949","Hispanic","South","Secondary","Male","1-9,999","5000"
"950","White","South","Secondary","Male","20,000- 29,999","25000"
"951","White","Midwest","Bachelors","Male","30,000-39,999","35000"
"952","White","Midwest","Secondary","Female","40,000-59,999","55000"
"953","White","South","Bachelors","Male","40,000- 49,999","45000"
"954","White","West","Secondary","Male","150,000 +","200000"
"955",NA,"West","Masters","Female","30,000-39,999","35000"
"956","White","West","Masters","Male","150,000 +","200000"
"957","Hispanic","South","Primary","Male","40,000-59,999","55000"
"958","White","West","Secondary","Male",NA,NA
"959","White","South","Secondary","Male","40,000-59,999","55000"
"960","Black","South","Secondary","Female","1-9,999","5000"
"961","White","Midwest","Secondary","Male","75,000-99,999","87500"
"962","Black","South","Secondary","Male",NA,NA
"963","White","Northeast","Secondary","Male","100,000-149,999","125000"
"964","White","Midwest","Secondary","Female","30,000-39,999","35000"
"965","Asian/Pacific Islander","Midwest","Professional","Female","40,000-59,999","55000"
"966","White","South","Secondary","Female","100,000-149,999","125000"
"967","White","Northeast","Masters","Male","150,000 +","200000"
"968","White","Midwest","Bachelors","Male","100,000-149,999","125000"
"969","White","South","Bachelors","Female","100,000-149,999","125000"
"970","Hispanic","South","Primary","Male","10,000-19,999","10000"
"971","White","South","Secondary","Female",NA,NA
"972","Hispanic","Midwest","Primary","Male","30,000-39,999","35000"
"973","Hispanic","Midwest","Primary","Female",NA,NA
"974","White","Midwest","Bachelors","Male","100,000-149,999","125000"
"975","Black","South","Primary","Male","100,000-149,999","125000"
"976","White","South","Secondary","Male","40,000- 49,999","45000"
"977","White","Midwest","Secondary","Male","100,000-149,999","125000"
"978","White","Midwest","Secondary","Male","40,000-59,999","55000"
"979","Hispanic","West","Professional","Male",NA,NA
"980","White","South","Masters","Male","100,000-149,999","125000"
"981","Black","South","Primary","Female","40,000- 49,999","45000"
"982","White","Northeast","Bachelors","Male","100,000-149,999","125000"
"983","White","South","Masters","Female","100,000-149,999","125000"
"984","Black","South","Professional","Female","30,000-39,999","35000"
"985","White","Midwest","Masters","Female","75,000-99,999","87500"
"986","Hispanic","Midwest","Secondary","Female","20,000- 29,999","25000"
"987","White","Midwest","Masters","Female","100,000-149,999","125000"
"988","White","South","Bachelors","Male","150,000 +","200000"
"989","White","West","Primary","Female","20,000- 29,999","25000"
"990","Black","South","Bachelors","Female","40,000- 49,999","45000"
"991","Hispanic","South","Secondary","Male","1-9,999","5000"
"992","White","South","Masters","Female",NA,NA
"993","White","South","Secondary","Female","40,000-59,999","55000"
"994","Asian/Pacific Islander","West","Bachelors","Female","40,000-59,999","55000"
"995","White","South","Bachelors","Female","10,000-19,999","10000"
"996","White","Midwest","Primary","Female","10,000-19,999","10000"
"997","White","South","Bachelors","Male","100,000-149,999","125000"
"998","White","West","Professional","Male","75,000-99,999","87500"
"999","White","South","Masters","Female","100,000-149,999","125000"
"1000","White","Midwest","Bachelors","Female","40,000- 49,999","45000"
"1001","White","Midwest","Masters","Male","100,000-149,999","125000"
"1002","White","Northeast","Primary","Male","10,000-19,999","10000"
"1003","White","West","Secondary","Male","40,000-59,999","55000"
"1004","White","South","Professional","Male","150,000 +","200000"
"1005","Hispanic","South","Secondary","Male",NA,NA
"1006","White","South","Secondary","Male","75,000-99,999","87500"
"1007","White","South","Masters","Female","75,000-99,999","87500"
"1008","Hispanic","Midwest","Secondary","Female","20,000- 29,999","25000"
"1009","Black","Midwest","Professional","Female","10,000-19,999","10000"
"1010","White","Northeast","Secondary","Female","20,000- 29,999","25000"
"1011","Black","South","Primary","Female","10,000-19,999","10000"
"1012","White","West","Professional","Female","60,000-74,999","67500"
"1013","White","Northeast","Bachelors","Male",NA,NA
"1014","White","Midwest","Secondary","Female","60,000-74,999","67500"
"1015","White","South","Secondary","Male",NA,NA
"1016","White","Northeast","Secondary","Female","40,000- 49,999","45000"
"1017","White","Midwest","Bachelors","Female","60,000-74,999","67500"
"1018","White","Northeast","Bachelors","Male","10,000-19,999","10000"
"1019","White","South","Secondary","Female","150,000 +","200000"
"1020","White","Midwest","Bachelors","Female","75,000-99,999","87500"
"1021","White","South","Masters","Male","75,000-99,999","87500"
"1022","White","Midwest","Secondary","Female","60,000-74,999","67500"
"1023","Asian/Pacific Islander","West","Bachelors","Male","100,000-149,999","125000"
"1024","White","Midwest","Masters","Female","150,000 +","200000"
"1025","White","South","Masters","Female","75,000-99,999","87500"
"1026","White","South","Bachelors","Male","60,000-74,999","67500"
"1027","Asian/Pacific Islander","South","Bachelors","Male","100,000-149,999","125000"
"1028","White","South","Primary","Male","20,000- 29,999","25000"
"1029","Hispanic","West","Primary","Female","20,000- 29,999","25000"
"1030","White","South","Bachelors","Male","150,000 +","200000"
"1031","White","South","Bachelors","Male","100,000-149,999","125000"
"1032","White","Northeast","Bachelors","Female","40,000- 49,999","45000"
"1033","Black","Midwest","Bachelors","Male","60,000-74,999","67500"
"1034","White","South","Bachelors","Male","40,000-59,999","55000"
"1035","Hispanic","South","Primary","Female",NA,NA
"1036","White","Midwest","Secondary","Female","40,000-59,999","55000"
"1037","White","West","Primary","Male","40,000- 49,999","45000"
"1038","White","South","Bachelors","Female","150,000 +","200000"
"1039","Hispanic","West","Professional","Female","10,000-19,999","10000"
"1040","White","West","Bachelors","Male","100,000-149,999","125000"
"1041","White","Midwest","Professional","Female","75,000-99,999","87500"
"1042","White","South","Professional","Female",NA,NA
"1043","Black","South","Secondary","Male","20,000- 29,999","25000"
"1044","White","Northeast","Bachelors","Male","60,000-74,999","67500"
"1045","Asian/Pacific Islander","West","Professional","Male",NA,NA
"1046","Asian/Pacific Islander","South","Bachelors","Female","75,000-99,999","87500"
"1047","White","Midwest","Secondary","Male","40,000-59,999","55000"
"1048","Black","South","Secondary","Male","40,000-59,999","55000"
"1049","Hispanic","South","Bachelors","Male","20,000- 29,999","25000"
"1050","White","Northeast","Bachelors","Male","40,000-59,999","55000"
"1051","White","Northeast","Secondary","Male","10,000-19,999","10000"
"1052","White","South","Secondary","Female","40,000- 49,999","45000"
"1053","White","Midwest","Bachelors","Female","20,000- 29,999","25000"
"1054","Asian/Pacific Islander","West","Secondary","Male",NA,NA
"1055","White","South","Secondary","Female","40,000- 49,999","45000"
"1056","Black","Midwest","Secondary","Male","40,000- 49,999","45000"
"1057","Hispanic","West","Secondary","Female",NA,NA
"1058","Black","Midwest","Secondary","Female","60,000-74,999","67500"
"1059","White","West","Secondary","Male","100,000-149,999","125000"
"1060","White","Midwest","Bachelors","Male","20,000- 29,999","25000"
"1061","Black","Midwest","Professional","Male","60,000-74,999","67500"
"1062","White","Northeast","Bachelors","Male","150,000 +","200000"
"1063","White","Midwest","Bachelors","Male","150,000 +","200000"
"1064","White","West","Secondary","Female","75,000-99,999","87500"
"1065","Asian/Pacific Islander","Northeast","Professional","Female","60,000-74,999","67500"
"1066","White","Midwest","Professional","Female","100,000-149,999","125000"
"1067","Black","South","Secondary","Female","10,000-19,999","10000"
"1068","White","South","Secondary","Male","100,000-149,999","125000"
"1069","White","Northeast","Masters","Female","100,000-149,999","125000"
"1070","White","South","Secondary","Female","20,000- 29,999","25000"
"1071","White","West","Bachelors","Female","150,000 +","200000"
"1072","White","South","Professional","Female","100,000-149,999","125000"
"1073","White","Northeast","Bachelors","Male","75,000-99,999","87500"
"1074","White","South","Secondary","Female","40,000- 49,999","45000"
"1075","White","South","Secondary","Male",NA,NA
"1076","White","Midwest","Secondary","Male",NA,NA
"1077","Hispanic","South","Secondary","Female","0","0"
"1078","Hispanic","West","Secondary","Female","60,000-74,999","67500"
"1079","Black","West","Primary","Male","75,000-99,999","87500"
"1080","White","Midwest","Professional","Male","40,000-59,999","55000"
"1081","Black","South","Secondary","Male","60,000-74,999","67500"
"1082","White","Midwest","Bachelors","Male","100,000-149,999","125000"
"1083","White","Midwest","Primary","Male","30,000-39,999","35000"
"1084","White","Northeast","Bachelors","Female",NA,NA
"1085","White","South","Secondary","Female","20,000- 29,999","25000"
"1086","White","South","Masters","Female","40,000-59,999","55000"
"1087","Asian/Pacific Islander","Northeast","Masters","Female","150,000 +","200000"
"1088","White","South","Primary","Male",NA,NA
"1089","Hispanic","Midwest","Secondary","Male","40,000-59,999","55000"
"1090","White","South","Bachelors","Female","10,000-19,999","10000"
"1091","Black","Midwest","Secondary","Female","1-9,999","5000"
"1092","Hispanic","South","Secondary","Male","1-9,999","5000"
"1093","White","Midwest","Secondary","Female","60,000-74,999","67500"
"1094","Black","South","Secondary","Male","1-9,999","5000"
"1095","White","Northeast","Secondary","Male","40,000- 49,999","45000"
"1096","White","Northeast","Secondary","Female","20,000- 29,999","25000"
"1097","White","South","Secondary","Female","10,000-19,999","10000"
"1098","Black","South","Secondary","Male","10,000-19,999","10000"
"1099","White","West","Professional","Male","100,000-149,999","125000"
"1100","Black","Midwest","Secondary","Female","1-9,999","5000"
"1101","Asian/Pacific Islander","Midwest","Bachelors","Male","0","0"
"1102","White","Northeast","Professional","Female","40,000-59,999","55000"
"1103","White","South","Secondary","Male","10,000-19,999","10000"
"1104","White","Midwest","Professional","Male","150,000 +","200000"
"1105","White","South","Secondary","Female","75,000-99,999","87500"
"1106","White","Northeast","Secondary","Female",NA,NA
"1107","White","Midwest","Secondary","Female","60,000-74,999","67500"
"1108","Asian/Pacific Islander","West","Masters","Male","150,000 +","200000"
"1109","Hispanic","South","Secondary","Female","10,000-19,999","10000"
"1110","Hispanic","West","Primary","Male","10,000-19,999","10000"
"1111","Hispanic","Midwest","Primary","Female","30,000-39,999","35000"
"1112","White","Midwest","Professional","Male","40,000-59,999","55000"
"1113","White","Midwest","Masters","Male","40,000-59,999","55000"
"1114","Black","South","Secondary","Female","100,000-149,999","125000"
"1115","White","South","Secondary","Male","100,000-149,999","125000"
"1116","White","Midwest","Bachelors","Female","100,000-149,999","125000"
"1117","White","Midwest","Secondary","Male",NA,NA
"1118","Asian/Pacific Islander","South","Secondary","Female","60,000-74,999","67500"
"1119","White","Midwest","Secondary","Male","40,000-59,999","55000"
"1120","White","Midwest","Secondary","Female","40,000- 49,999","45000"
"1121","White","Northeast","Secondary","Female","100,000-149,999","125000"
"1122","White","West","Bachelors","Male","150,000 +","200000"
"1123","Hispanic","South","Secondary","Male","10,000-19,999","10000"
"1124","White","South","Secondary","Female",NA,NA
"1125","White","Midwest","Secondary","Female","30,000-39,999","35000"
"1126","White","Midwest","Professional","Female","20,000- 29,999","25000"
"1127","White","West","Bachelors","Female","30,000-39,999","35000"
"1128","White","West","Bachelors","Female","40,000-59,999","55000"
"1129","White","South","Secondary","Male","150,000 +","200000"
"1130","White","Midwest","Masters","Male","150,000 +","200000"
"1131","White","Midwest","Professional","Male","75,000-99,999","87500"
"1132","White","Northeast","Masters","Female","75,000-99,999","87500"
"1133","Hispanic","Northeast","Secondary","Male","60,000-74,999","67500"
"1134","Other","South","Primary","Female","75,000-99,999","87500"
"1135","White","Northeast","Secondary","Male","60,000-74,999","67500"
"1136","White","South","Professional","Female",NA,NA
"1137","White","South","Professional","Male","75,000-99,999","87500"
"1138","White","West","Professional","Male","40,000- 49,999","45000"
"1139","Hispanic","South","Secondary","Female","10,000-19,999","10000"
"1140","Hispanic","West","Secondary","Female","1-9,999","5000"
"1141","White","South","Secondary","Male","20,000- 29,999","25000"
"1142","White","West","Professional","Male","100,000-149,999","125000"
"1143","White","South","Bachelors","Female","150,000 +","200000"
"1144","Black","South","Secondary","Male","40,000-59,999","55000"
"1145","Hispanic","West","Primary","Male","30,000-39,999","35000"
"1146","White","West","Secondary","Female",NA,NA
"1147","Black","Northeast","Bachelors","Female","40,000-59,999","55000"
"1148","White","South","Secondary","Male","10,000-19,999","10000"
"1149","Black","South","Primary","Male","20,000- 29,999","25000"
"1150","Asian/Pacific Islander","West","Bachelors","Female","150,000 +","200000"
"1151","Black","South","Secondary","Female","40,000- 49,999","45000"
"1152","White","Midwest","Masters","Female",NA,NA
"1153","Hispanic","Midwest","Secondary","Female","75,000-99,999","87500"
"1154","White","South","Secondary","Female","40,000-59,999","55000"
"1155","White","Northeast","Bachelors","Female",NA,NA
"1156","Asian/Pacific Islander","South","Professional","Male","60,000-74,999","67500"
"1157","White","South","Masters","Female","150,000 +","200000"
"1158","Other","West","Secondary","Female",NA,NA
"1159","White","South","Secondary","Male",NA,NA
"1160","White","Northeast","Secondary","Female","40,000- 49,999","45000"
"1161","White","South","Bachelors","Female","100,000-149,999","125000"
"1162","White","Midwest","Secondary","Female",NA,NA
"1163","White","South","Secondary","Female","20,000- 29,999","25000"
"1164","Black","South","Secondary","Male","150,000 +","200000"
"1165","White","South","Masters","Male","150,000 +","200000"
"1166","White","South","Bachelors","Female","40,000- 49,999","45000"
"1167","White","Midwest","Bachelors","Male","150,000 +","200000"
"1168","White","West","Secondary","Female","150,000 +","200000"
"1169","White","Midwest","Secondary","Male","150,000 +","200000"
"1170","White","Northeast","Bachelors","Female","60,000-74,999","67500"
"1171","White","South","Primary","Female","1-9,999","5000"
"1172","White","Midwest","Secondary","Male","60,000-74,999","67500"
"1173","White","South","Bachelors","Male","40,000-59,999","55000"
"1174","Black","Northeast","Secondary","Female","10,000-19,999","10000"
"1175","White","Midwest","Secondary","Male","40,000-59,999","55000"
"1176","White","South","Secondary","Male","60,000-74,999","67500"
"1177","White","Midwest","Secondary","Female","60,000-74,999","67500"
"1178","White","West","Masters","Male","75,000-99,999","87500"
"1179","White","South","Professional","Female","40,000- 49,999","45000"
"1180","White","West","Secondary","Female","10,000-19,999","10000"
"1181","White","South","Secondary","Male","60,000-74,999","67500"
"1182","White","Midwest","Secondary","Male","40,000- 49,999","45000"
"1183","Hispanic","South","Masters","Female","150,000 +","200000"
"1184","White","Midwest","Masters","Male","75,000-99,999","87500"
"1185","White","South","Secondary","Female","20,000- 29,999","25000"
"1186","White","Midwest","Secondary","Female","30,000-39,999","35000"
"1187","White","Midwest","Bachelors","Female","60,000-74,999","67500"
"1188","Black","Midwest","Secondary","Male","10,000-19,999","10000"
"1189","Black","South","Primary","Female","1-9,999","5000"
"1190","Hispanic","West","Secondary","Female","1-9,999","5000"
"1191","White","South","Secondary","Male","100,000-149,999","125000"
"1192","White","South","Masters","Female","150,000 +","200000"
"1193","Hispanic","South","Primary","Female","1-9,999","5000"
"1194","White","Midwest","Masters","Female","100,000-149,999","125000"
"1195","White","West","Masters","Male","60,000-74,999","67500"
"1196","White","West","Secondary","Female","30,000-39,999","35000"
"1197","Black","South","Bachelors","Female",NA,NA
"1198","White","West","Bachelors","Female","60,000-74,999","67500"
"1199","Hispanic","South","Bachelors","Male","150,000 +","200000"
"1200","Black","South","Professional","Female",NA,NA
"1201","Black","Northeast","Masters","Female","40,000-59,999","55000"
"1202","White","South","Bachelors","Female","10,000-19,999","10000"
"1203","White","Northeast","Secondary","Male","60,000-74,999","67500"
"1204","Black","Northeast","Secondary","Female","40,000-59,999","55000"
"1205","Hispanic","West","Secondary","Female",NA,NA
"1206","White","Midwest","Primary","Male","60,000-74,999","67500"
"1207","White","South","Bachelors","Female","40,000-59,999","55000"
"1208","White","South","Bachelors","Male","40,000-59,999","55000"
"1209","White","Midwest","Secondary","Female","10,000-19,999","10000"
"1210","White","West","Secondary","Female","20,000- 29,999","25000"
"1211","White","Midwest","Secondary","Male","40,000-59,999","55000"
"1212","Black","West","Secondary","Female","40,000- 49,999","45000"
"1213","White","Midwest","Secondary","Male","20,000- 29,999","25000"
"1214","White","Midwest","Secondary","Male","40,000-59,999","55000"
"1215","Black","South","Secondary","Female","1-9,999","5000"
"1216","White","West","Secondary","Female","60,000-74,999","67500"
"1217","White","South","Professional","Female","40,000-59,999","55000"
"1218","White","Midwest","Secondary","Female","20,000- 29,999","25000"
"1219","Black","Northeast","Bachelors","Female",NA,NA
"1220","White","Northeast","Secondary","Female","40,000-59,999","55000"
"1221","White","Midwest","Masters","Female","60,000-74,999","67500"
"1222","White","Midwest","Masters","Female","75,000-99,999","87500"
"1223","Black","South","Secondary","Male","10,000-19,999","10000"
"1224","White","Midwest","Bachelors","Male",NA,NA
"1225","Black","South","Professional","Male",NA,NA
"1226","White","South","Masters","Female",NA,NA
"1227","Asian/Pacific Islander","West","Secondary","Male","10,000-19,999","10000"
"1228","White","Midwest","Primary","Female","1-9,999","5000"
"1229","White","Midwest","Secondary","Female","150,000 +","200000"
"1230","White","Northeast","Masters","Female","150,000 +","200000"
"1231","Hispanic","West","Secondary","Male","40,000-59,999","55000"
"1232","White","South","Primary","Female","30,000-39,999","35000"
"1233","Other","South","Primary","Female","20,000- 29,999","25000"
"1234","White","Northeast","Bachelors","Male","20,000- 29,999","25000"
"1235","White","Midwest","Professional","Female","30,000-39,999","35000"
"1236","White","West","Masters","Male","60,000-74,999","67500"
"1237","White","West","Secondary","Male","20,000- 29,999","25000"
"1238","Black","South","Primary","Male",NA,NA
"1239","Hispanic","West","Professional","Female","60,000-74,999","67500"
"1240","White","West","Primary","Female","30,000-39,999","35000"
"1241","White","West","Professional","Male","75,000-99,999","87500"
"1242","White","South","Secondary","Male","40,000-59,999","55000"
"1243","Black","South","Secondary","Male","75,000-99,999","87500"
"1244","White","Midwest","Secondary","Male","30,000-39,999","35000"
"1245","Black","Midwest","Professional","Female","30,000-39,999","35000"
"1246","Black","South","Bachelors","Male","1-9,999","5000"
"1247","White","Midwest","Masters","Female","100,000-149,999","125000"
"1248","White","Northeast","Bachelors","Female","150,000 +","200000"
"1249","White","Northeast","Secondary","Male","150,000 +","200000"
"1250","White","Midwest","Primary","Female","10,000-19,999","10000"
"1251","White","Midwest","Bachelors","Female",NA,NA
"1252","White","Midwest","Bachelors","Male","40,000-59,999","55000"
"1253","Asian/Pacific Islander","Midwest","Bachelors","Male",NA,NA
"1254","White","Northeast","Primary","Female","40,000-59,999","55000"
"1255","Other","South","Bachelors","Male","100,000-149,999","125000"
"1256","White","West","Secondary","Female",NA,NA
"1257","Black","South","Secondary","Female","10,000-19,999","10000"
"1258","Black","Northeast","Primary","Male","20,000- 29,999","25000"
"1259","White","Northeast","Bachelors","Male",NA,NA
"1260","Asian/Pacific Islander","South","Professional","Female","75,000-99,999","87500"
"1261","Black","Midwest","Masters","Female","100,000-149,999","125000"
"1262","Hispanic","South","Secondary","Male","1-9,999","5000"
"1263","Black","South","Secondary","Female","40,000- 49,999","45000"
"1264","Black","South","Bachelors","Female","150,000 +","200000"
"1265","White","South","Bachelors","Male","60,000-74,999","67500"
"1266","White","South","Bachelors","Male","75,000-99,999","87500"
"1267","Black","South","Secondary","Female","10,000-19,999","10000"
"1268","White","South","Secondary","Female","40,000- 49,999","45000"
"1269","Black","South","Professional","Female","60,000-74,999","67500"
"1270","White","Midwest","Professional","Male","30,000-39,999","35000"
"1271","Hispanic","South","Primary","Female","1-9,999","5000"
"1272","White","South","Primary","Male",NA,NA
"1273","Black","South","Professional","Female","100,000-149,999","125000"
"1274","White","West","Secondary","Female","40,000-59,999","55000"
"1275","White","Northeast","Bachelors","Male","150,000 +","200000"
"1276","White","Midwest","Masters","Female",NA,NA
"1277","White","South","Primary","Male","40,000- 49,999","45000"
"1278","White","Midwest","Professional","Female","10,000-19,999","10000"
"1279","White","Northeast","Secondary","Female","75,000-99,999","87500"
"1280","White","Midwest","Secondary","Male","60,000-74,999","67500"
"1281","White","Midwest","Bachelors","Female","40,000-59,999","55000"
"1282","Black","West","Secondary","Female","40,000-59,999","55000"
"1283","Other","West","Secondary","Female","40,000-59,999","55000"
"1284","Asian/Pacific Islander","Northeast","Bachelors","Male","10,000-19,999","10000"
"1285","Hispanic","Midwest","Primary","Female","1-9,999","5000"
"1286","Hispanic","West","Bachelors","Female","30,000-39,999","35000"
"1287","Hispanic","Midwest","Primary","Male","60,000-74,999","67500"
"1288","White","Northeast","Secondary","Male","100,000-149,999","125000"
"1289","Hispanic","West","Secondary","Male","30,000-39,999","35000"
"1290","White","West","Bachelors","Male","60,000-74,999","67500"
"1291","Other","South","Primary","Male","1-9,999","5000"
"1292","Asian/Pacific Islander","West","Secondary","Male","10,000-19,999","10000"
"1293","Hispanic","Midwest","Secondary","Male","1-9,999","5000"
"1294","White","South","Bachelors","Male","100,000-149,999","125000"
"1295","White","South","Primary","Female","10,000-19,999","10000"
"1296","White","Midwest","Professional","Female","40,000-59,999","55000"
"1297","Hispanic","Northeast","Secondary","Female","30,000-39,999","35000"
"1298","White","South","Masters","Female","100,000-149,999","125000"
"1299","White","Midwest","Secondary","Male","60,000-74,999","67500"
"1300","White","Midwest","Primary","Female",NA,NA
